18:19:32:567 [ALWAYS]	GUDE Logging Started
18:19:32:567 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:19:32:567 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:19:32:567 [ERROR]	Initialize resume cache pointer failure
18:19:32:567 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:19:32:567 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:19:38:342 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:19:38:342 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:19:38:342 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:19:38:342 [ERROR]	Initialize resume cache pointer failure
18:19:38:342 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:19:38:342 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
